mean,stdev,var,K
-0.8069361043381004,0.5822932410504441,1,5
-0.4612708598159454,0.4930755802166603,1,10
-0.22703597819480886,1.0600364167621663,1,25
-0.01993707246791509,0.9469619997524859,1,50
-0.02293555824835202,1.1323948409446403,1,75
-0.09742647271837748,0.9007837431235727,1,100
0.3970473061289136,2.140436226894081,2,5
-1.2653960029943878,2.0522337774833495,2,10
-0.10784886420052077,1.5080029890041629,2,25
-0.42103362843627234,2.098997854968183,2,50
-0.2807427438576281,2.1209846342576384,2,75
-0.10859629187971322,2.0563374207725937,2,100
1.4655821317108346,1.2505007314961416,3,5
-0.2534814356127767,3.004286070918898,3,10
-0.5907352771610039,3.6972829340957163,3,25
0.7065727165167117,2.3006843330270845,3,50
-0.10976969272224132,2.8390804522032447,3,75
0.20148625482519145,3.06257149656157,3,100
-4.388681497465641,2.3400256641747377,4,5
-1.7945792568440078,4.1870524396668785,4,10
0.2929017062473567,4.816799910164278,4,25
0.9466175349896087,4.5636220536011045,4,50
-0.5144077358381782,3.6313594813493233,4,75
0.44102599505349727,4.0680283196988984,4,100
0.44705766642012923,0.9379417227910858,1,5
-0.2550472429730246,1.0985521912414389,1,10
-0.28612816609415903,0.7261661916959464,1,25
-0.23687609507631496,0.9800502058690391,1,50
-0.013997000001291775,1.0509021454994576,1,75
-0.023387263290029596,0.9135075817324847,1,100
-0.8574752930984725,1.2895373653154016,2,5
0.3160600804141716,2.039189873912256,2,10
0.291073604710834,2.4090079797462405,2,25
0.12620241021453107,2.078865213914308,2,50
0.03509105270058999,2.110723293131377,2,75
-0.3400650477939065,2.0054027438331117,2,100
-0.8791698560118691,2.0669569004327095,3,5
-0.4636478777269089,2.2824629641063447,3,10
1.2083097763883468,3.246541793848159,3,25
-0.19456647091128734,2.9778421248300004,3,50
-0.21173736794153347,3.030963727124619,3,75
-0.0955638516330684,3.107115946024127,3,100
-0.45225179167009766,1.7311313316618457,4,5
-0.1480557645034314,3.4395082413996754,4,10
0.4383154546729211,4.16935045467317,4,25
-0.1703245098169779,3.3945429553109907,4,50
0.05566030740737937,3.797279986739162,4,75
0.9161411818857246,3.7773016877582015,4,100
-0.881974140232889,0.507847954661658,1,5
0.48446356777203586,1.0540916809068221,1,10
0.1511728885331301,1.0099570754055354,1,25
-0.03875068264783957,0.8960190827184134,1,50
-0.011318379828845523,1.0266429473389502,1,75
-0.027297703397563086,0.9926967007730128,1,100
